cleaned_comment,vaccine_view,about_doctor_mike,format_criticism,misinformation,emotion_personal_experience
a lot of this seems to come down to who controls the science   there is no pure objective science there are always philosophies agendas and motives driving the science  even the fact checks here appeal to what studies proved or disproved  but who is fundingcontrolling the studies,,,,,
the voting out system is flawed,,,yes,,
compare doctor mike and sam sewer to jordan peterson and ben shaping and that tells you everything you need to know about what type of teaching and learning they have the ability to provide,,neutral,,,
after that self appointed rhead scientist the nature guy is the most annoying,,,,,
facts can change over time the most absurd statement that i have ever heard  no facts dont change lies just get revealed and people wonder why people are sceptical on science,,,,,
if the doctor cant even respond what kind of debate is it,,,yes,,
devon caused me a brain tumour,,,,,
this proves how dangerous the internet is when moons get their hands on it they become conspiracy suitcase,,,,yes,
a bunch of conspiracy nuts,,,,yes,
once someone gets voted out the surrounded person should be allowed a time to answer otherwise they just get to preach and vote out and so on,,,yes,,
one after another no one seems to understand correlation not causing causation lol,,,,,
jubilee is being disrispectuf with dr mike not letting him finish his points just because the anti van voted someone out also feels disingenuous,,neutral,yes,,yes
i would say that correlation does not equal causation the arrogance of these enlightened people is stunning i would say that emc2 does not make an einstein out of me,,,,,
the fact that none of these people can stay on topic and articulate a clear logical argument speaks volumes,,,,,
wait why can they vote the other out all that means is he doesnt get a chance to answer their question and they will carry on believing nonsense and even worse they walk away believing the won the argument,,,yes,,
theres no absolute truth period mike    do you mean that absolutely    how ridiculous to take the high ground of science which seeks the truth to say theres no absolute truth a statement which implies on itself   i just lost all respect for dr mike,,negative,,,
died suddenly watch the documentary,,,,,
big harm funded this,,,,,
the fact checks on the red haired girl where brutal every sentence she uttered and a fact check appears,,,,,
instead of abruptly ending the conversation whenever majority of the flags are raised they should atleast let them finish or let the other person have one complete exchange this whole video went by with dr mike without being able to complete most of his responses,,neutral,yes,,
its fairly obvious that he means that what is accepted as a fact can change over time which is true,,,,,
the lots shown by the embalmers in the movie seem to medical experts to be no different than the lots that commonly occur in life and also after death,,,,,
babies do not need a 70 vaccines schedule or more no vaccine has been tested to be fully effective or safe read the inserts and disclaimers weigh the risk vs benefit and in most cases the risks are much higher,pro-vaccine,,,,
the lady in green rolling her eyes and grasping is pm girl youre a youtube,,,,,
every point the doctor made others were like nah i dont like it,,,,,
did the girl said my friend got tumour and saved by eating organic food,,,,,yes
