cleaned_comment,vaccine_view,about_doctor_mike,format_criticism,misinformation,emotion_personal_experience,sentiment,toxicity_level
a lot of this seems to come down to who controls the science   there is no pure objective science there are always philosophies agendas and motives driving the science  even the fact checks here appeal to what studies proved or disproved  but who is fundingcontrolling the studies,,,,,,negative,non-toxic
the voting out system is flawed,,,yes,,,strongly_negative,mildly-toxic
compare doctor mike and sam sewer to jordan peterson and ben shaping and that tells you everything you need to know about what type of teaching and learning they have the ability to provide,,neutral,,,,neutral,non-toxic
after that self appointed rhead scientist the nature guy is the most annoying,,,,,,negative,non-toxic
facts can change over time the most absurd statement that i have ever heard  no facts dont change lies just get revealed and people wonder why people are sceptical on science,,,,,,neutral,non-toxic
if the doctor cant even respond what kind of debate is it,,,yes,,,positive,mildly-toxic
devon caused me a brain tumour,,,,,,neutral,non-toxic
this proves how dangerous the internet is when moons get their hands on it they become conspiracy suitcase,,,,yes,,negative,highly-toxic
a bunch of conspiracy nuts,,,,yes,,neutral,highly-toxic
once someone gets voted out the surrounded person should be allowed a time to answer otherwise they just get to preach and vote out and so on,,,yes,,,neutral,mildly-toxic
one after another no one seems to understand correlation not causing causation lol,,,,,,positive,non-toxic
jubilee is being disrispectuf with dr mike not letting him finish his points just because the anti van voted someone out also feels disingenuous,,neutral,yes,,yes,neutral,mildly-toxic
i would say that correlation does not equal causation the arrogance of these enlightened people is stunning i would say that emc2 does not make an einstein out of me,,,,,,positive,non-toxic
the fact that none of these people can stay on topic and articulate a clear logical argument speaks volumes,,,,,,positive,non-toxic
wait why can they vote the other out all that means is he doesnt get a chance to answer their question and they will carry on believing nonsense and even worse they walk away believing the won the argument,,,yes,,,negative,mildly-toxic
theres no absolute truth period mike    do you mean that absolutely    how ridiculous to take the high ground of science which seeks the truth to say theres no absolute truth a statement which implies on itself   i just lost all respect for dr mike,,negative,,,,negative,mildly-toxic
died suddenly watch the documentary,,,,,,neutral,non-toxic
big harm funded this,,,,,,neutral,non-toxic
